"2013-03-07";"12:13:49";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2013-03-01";"13:30:11";"F";"2548";"359";"442";"134";"0.188";"10.6"
"2013-03-01";"13:30:21";"F";"2549";"354";"405";"199";"0.126";"10.5"
"2013-03-01";"13:30:31";"F";"2550";"335";"369";"272";"0.092";"10.5"
"2013-03-01";"13:30:41";"F";"2551";"311";"334";"397";"0.069";"11.5"
"2013-03-01";"13:30:50";"F";"2552";"287";"302";"537";"0.050";"11.3"
"2013-03-01";"13:30:50";"SLCE";"";"Light Curve end ";""
"2013-03-01";"13:33:07";"SLCS";"";"Light Curve start ";""
"2013-03-01";"13:33:07";"REG1";"";"#1: alpha: 0.347, ETRm: 12.837, Ek: 36.943   ( beta: 0.003, ETRmPot: 13.482 ) ";""
"2013-03-01";"13:33:07";"REG2";"";"#1: alpha: 0.275, ETRm: 12.482, Ek: 45.318 ";""
"2013-03-01";"13:33:08";"FO";"2553";"167";"530";"0";"0.685";"0.0"
"2013-03-01";"13:33:18";"F";"2554";"188";"527";"15";"0.643";"4.1"
"2013-03-01";"13:33:28";"F";"2555";"235";"494";"41";"0.524";"9.0"
"2013-03-01";"13:33:38";"F";"2556";"311";"459";"86";"0.322";"11.6"
"2013-03-01";"13:33:48";"F";"2557";"344";"443";"134";"0.223";"12.6"
"2013-03-01";"13:33:58";"F";"2558";"363";"430";"199";"0.156";"13.0"
"2013-03-01";"13:34:08";"F";"2559";"367";"413";"272";"0.111";"12.7"
"2013-03-01";"13:34:17";"F";"2560";"365";"394";"397";"0.074";"12.3"
"2013-03-01";"13:34:27";"F";"2561";"354";"374";"537";"0.053";"12.0"
"2013-03-01";"13:34:27";"SLCE";"";"Light Curve end ";""
"2013-03-01";"13:35:31";"SLCS";"";"Light Curve start ";""
"2013-03-01";"13:35:31";"REG1";"";"#1: alpha: 0.431, ETRm: 17.549, Ek: 40.727   ( beta: 0.020, ETRmPot: 21.184 ) ";""
"2013-03-01";"13:35:31";"REG2";"";"#1: alpha: 0.350, ETRm: 15.970, Ek: 45.666 ";""
"2013-03-01";"13:35:32";"FO";"2562";"145";"455";"0";"0.681";"0.0"
"2013-03-01";"13:35:40";"F";"2563";"161";"456";"15";"0.647";"4.1"
"2013-03-01";"13:35:50";"F";"2564";"169";"457";"41";"0.630";"10.8"
"2013-03-01";"13:36:00";"F";"2565";"228";"460";"86";"0.504";"18.2"
"2013-03-01";"13:36:10";"F";"2566";"308";"451";"134";"0.317";"17.8"
"2013-03-01";"13:36:20";"F";"2567";"350";"436";"199";"0.197";"16.5"
"2013-03-01";"13:36:30";"F";"2568";"364";"421";"272";"0.135";"15.4"
"2013-03-01";"13:36:40";"F";"2569";"368";"403";"397";"0.087";"14.5"
"2013-03-01";"13:36:50";"F";"2570";"362";"385";"537";"0.060";"13.5"
"2013-03-01";"13:36:50";"SLCE";"";"Light Curve end ";""
"2013-03-01";"13:39:18";"SLCS";"";"Light Curve start ";""
