"2014-02-03";"13:00:40";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:Depth";"1:qP";"1:qN";"1:NPQ"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2013-09-05";"11:38:31";"F";"90";"523";"691";"19";"13.0";"0.243";"1.9";"~205";"- 4.4";"0.346";"- 0.010";"- 0.009"
"2013-09-05";"11:38:41";"F";"91";"621";"683";"38";"13.0";"0.091";"1.5";"~204";"- 4.4";"0.129";"0.004";"0.003"
"2013-09-05";"11:38:51";"F";"92";"642";"670";"58";"13.0";"0.042";"1.0";"~203";"- 4.4";"0.060";"0.029";"0.022"
"2013-09-05";"11:39:01";"F";"93";"644";"661";"86";"13.0";"0.026";"0.9";"~202";"- 4.4";"0.037";"0.046";"0.036"
"2013-09-05";"11:39:11";"F";"94";"638";"645";"117";"11.0";"0.011";"0.5";"~200";"- 4.4";"0.016";"0.075";"0.062"
"2013-09-05";"11:39:21";"F";"95";"629";"629";"170";"13.0";"0.000";"0.0";"~199";"- 4.4";"0.000";"0.106";"0.089"
"2013-09-05";"11:39:30";"F";"96";"613";"611";"228";"12.0";"-";"-";"-";"- 4.4";"-";"-";"-"
"2013-09-05";"11:39:40";"F";"97";"593";"592";"337";"13.0";"-";"-";"-";"- 4.4";"-";"-";"-"
"2013-09-05";"11:39:40";"SLCE";"";"Light Curve end ";""
"2013-09-05";"11:40:08";"SLCS";"";"Light Curve start ";""
"2013-09-05";"11:40:08";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:40:08";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:40:09";"FO";"98";"212";"788";"0";"13.0";"0.731";"0.0";"-";"- 4.5";"-";"-";"-"
"2013-09-05";"11:40:18";"F";"99";"499";"796";"19";"13.0";"0.373";"3.0";"~213";"- 4.5";"0.509";"- 0.012";"- 0.010"
"2013-09-05";"11:40:28";"F";"100";"656";"781";"38";"13.0";"0.160";"2.6";"~211";"- 4.5";"0.219";"0.010";"0.009"
"2013-09-05";"11:40:38";"F";"101";"698";"766";"58";"13.0";"0.089";"2.2";"~210";"- 4.5";"0.122";"0.035";"0.029"
"2013-09-05";"11:40:48";"F";"102";"709";"753";"86";"13.0";"0.058";"2.1";"~209";"- 4.5";"0.081";"0.056";"0.046"
"2013-09-05";"11:40:58";"F";"103";"707";"735";"117";"13.0";"0.038";"1.9";"~208";"- 4.5";"0.053";"0.085";"0.072"
"2013-09-05";"11:41:08";"F";"104";"700";"715";"170";"13.0";"0.021";"1.5";"~206";"- 4.5";"0.029";"0.116";"0.102"
"2013-09-05";"11:41:18";"F";"105";"679";"686";"228";"13.0";"0.010";"1.0";"~204";"- 4.5";"0.015";"0.163";"0.149"
"2013-09-05";"11:41:27";"F";"106";"649";"648";"337";"13.0";"-";"-";"-";"- 4.5";"-";"-";"-"
"2013-09-05";"11:41:27";"SLCE";"";"Light Curve end ";""
"2013-09-05";"11:43:22";"SLCS";"";"Light Curve start ";""
"2013-09-05";"11:43:22";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:43:22";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:43:23";"FO";"107";"170";"801";"0";"13.0";"0.788";"0.0";"-";"- 4.5";"-";"-";"-"
"2013-09-05";"11:43:33";"F";"108";"552";"800";"19";"13.0";"0.310";"2.5";"~170";"- 4.5";"0.394";"0.002";"0.001"
"2013-09-05";"11:43:43";"F";"109";"677";"793";"38";"13.0";"0.146";"2.3";"~170";"- 4.5";"0.186";"0.013";"0.010"
"2013-09-05";"11:43:53";"F";"110";"715";"779";"58";"13.0";"0.082";"2.0";"~169";"- 4.5";"0.105";"0.033";"0.028"
"2013-09-05";"11:44:03";"F";"111";"731";"771";"86";"13.0";"0.052";"1.9";"~169";"- 4.6";"0.066";"0.046";"0.039"
"2013-09-05";"11:44:13";"F";"112";"734";"760";"117";"13.0";"0.034";"1.7";"~168";"- 4.5";"0.044";"0.062";"0.054"
"2013-09-05";"11:44:22";"F";"113";"734";"749";"170";"13.0";"0.020";"1.4";"~168";"- 4.4";"0.026";"0.079";"0.069"
"2013-09-05";"11:44:32";"F";"114";"728";"734";"228";"13.0";"0.008";"0.8";"~167";"- 4.5";"0.011";"0.101";"0.091"
"2013-09-05";"11:44:42";"F";"115";"715";"714";"337";"13.0";"-";"-";"-";"- 4.5";"-";"-";"-"
"2013-09-05";"11:44:42";"SLCE";"";"Light Curve end ";""
"2013-09-05";"11:45:15";"SLCS";"";"Light Curve start ";""
"2013-09-05";"11:45:15";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:45:15";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:45:16";"FO";"116";"226";"866";"0";"13.0";"0.739";"0.0";"-";"- 4.4";"-";"-";"-"
"2013-09-05";"11:45:26";"F";"117";"652";"879";"19";"13.0";"0.258";"2.1";"~227";"- 4.4";"0.348";"- 0.019";"- 0.015"
